Filename,Frame,Time (mins),Period,Period time (mins),length.mm,Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,Number,Stage,Activity,Comment
Left (6).MP4,6892,92.0041,60min_start,59.5033,386.182,3.324,0.474,1233.001,18.825,35.768,16.491,386.692,-93.624,-1167.045,ansellpoint_1,Fiona Francis,19.1,,19-10-17,11:13,rocky reef,,,,1049,1048,Hexagrammidae,Ophiodon,elongatus,167116,1,AD,Passing,
Left_002.MP4,9342,22.8962,,,,1.237,0.167,974.813,2.081,,,17.699,38.955,-973.874,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,,,,,1,AD,Passing,Tape1_start
Left_002.MP4,9432,22.9463,,,,1.188,0.382,950.437,1.704,,,1.516,36.319,-949.742,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,,,,,1,AD,Passing,Tape1_end
Left_002.MP4,9789,23.1448,,,,1.278,0.321,994.471,2.102,,,14.397,41.987,-993.48,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,,,,,1,AD,Passing,Tape2_start
Left_002.MP4,9879,23.1948,,,,1.256,0.476,983.606,1.858,,,0.182,40.26,-982.782,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,,,,,1,AD,Passing,Tape2_end
Left_002.MP4,10274,23.4145,,,,1.267,0.091,988.647,2.55,,,17.718,48.668,-987.289,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,,,,,1,AD,Passing,Tape3_start
Left_002.MP4,10364,23.4646,,,,1.305,0.5,1007.218,1.648,,,-6.948,36.707,-1006.525,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,,,,,1,AD,Passing,Tape3_end
Left_002.MP4,15556,26.3519,30min_start,2.5025,623.062,0.983,0.442,747.509,21.292,0.996,6.99,-61.159,-264.455,-696.486,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,Hexagrammidae,Ophiodon,elongatus,167116,1,AD,Passing,
Left_002.MP4,24637,31.4019,30min_start,7.5525,249.031,2.627,0.812,1602.44,20.17,7.271,10.089,-364.25,-415.451,-1504.172,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,Embiotocidae,Rhacochilus,vacca,169754,1,AD,Passing,
Left_003.MP4,887,35.8953,30min_start,12.0459,291.778,11.425,1.196,2697.885,38.272,11.01,13.561,-1555.629,610.297,-2118.051,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,
Left_003.MP4,1883,36.4492,30min_start,12.5998,366.92,4.004,0.485,1746.712,34.453,7.16,42.662,-882.956,-443.666,-1440.331,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,
Left_003.MP4,9190,40.5127,30min_start,16.6633,240.645,13.513,0.726,3035.942,38.637,6.274,26.569,-1780.849,649.472,-2371.435,birdislet_1,Fiona Francis,21.8,,19-09-06,11:26,rocky reef,,,,1035,1034,Embiotocidae,Rhacochilus,vacca,169754,1,AD,Passing,
Left (1).MP4,19947,11.0927,,,,1.215,0.166,963.986,1.627,,,25.603,19.151,-963.455,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape1_start
Left (1).MP4,20051,11.1506,,,,1.264,0.51,983.021,8.186,,,132.397,-35.821,-973.406,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape1_end
Left (1).MP4,20193,11.2296,,,,1.175,0.08,944.221,0.786,,,-9.522,18.061,-944.001,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape2_start
Left (1).MP4,20283,11.2796,,,,1.045,0.127,875.794,7.009,,,-11.732,-97.677,-870.251,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape2_end
Left (1).MP4,20476,11.3869,,,,1.054,0.182,881.615,1.423,,,13.28,26.08,-881.129,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape3_start
Left (1).MP4,20566,11.437,,,,1.022,0.439,864.149,3.514,,,52.852,4.994,-862.517,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape3_end
Left (2).MP4,2249,18.885,60min,4.3421,295.948,2.284,3.213,1233.173,27.657,17.031,3.923,415.725,-393.475,-1092.275,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,1,AD,Passing,
Left (2).MP4,5168,20.5083,60min,5.9654,169.941,2.699,0.788,1739.4,14.179,2.17,1.734,367.27,215.967,-1686.411,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,Embiotocidae,Rhacochilus,vacca,169754,1,AD,Passing,
Left (2).MP4,13128,24.9349,60min,10.392,203.743,3.048,1.288,1153.353,31.349,76.17,40.153,478.935,-361.482,-984.975,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,
Left (2).MP4,18891,28.1398,60min,13.5969,312.149,4.133,1.117,1170.242,26.094,89.197,21.426,-513.989,-27.488,-1050.965,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,
Left (4).MP4,21311,64.7541,60min,50.2113,92.734,2.009,0.406,1011.593,30.924,36.731,21.091,-436.619,-282.152,-867.798,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,1,AD,Passing,
Left (4).MP4,28298,68.6397,60min,54.0968,240.792,2.208,3.121,862.891,32.497,88.53,1.178,363.504,-287.715,-727.782,birdislet_2,Fiona Francis,26.8,,19-11-20,11:07,rocky reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,1,AD,Passing,
Left (2).MP4,13811,25.3147,,,,1.345,0.235,1026.952,0.607,,,8.015,2.753,-1026.917,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape1_start
Left (2).MP4,13901,25.3648,,,,1.238,0.004,974.928,4.265,,,37.411,-52.542,-972.792,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape1_end
Left (2).MP4,14045,25.4449,,,,1.342,0.067,1025.666,1.143,,,16.11,-2.522,-1025.537,bootspongewall_1,Fiona Francis,17,,19-10-11,12:49,rocky reef,,,,1049,1048,,,,,1,AD,Passing,Tape2_start
