MaxN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Generated: Thursday 03 June 2021 21:41:46,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,Date,Time,habitat_type,complexity,current_speed,temperature,left_camera,right_camera,Family,Genus,Species,Code,MaxN,Has fed
Left (3).MP4,11341,41.5754,60min,8.7198,christiebuoy_1,Fiona Francis,20,,2019-10-01,11:29,rocky reef,,,,1047,1046,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left (5).MP4,15437,79.1218,60min,46.2662,christiebuoy_1,Fiona Francis,20,,2019-10-01,11:29,rocky reef,,,,1047,1046,Phocidae,Phoca,vitulina,180649,1,No
Left (2).MP4,28659,33.5719,60min,0.7163,christiebuoy_1,Fiona Francis,20,,2019-10-01,11:29,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,2,No
Left (2).MP4,31122,34.9416,60min,2.086,christiebuoy_1,Fiona Francis,20,,2019-10-01,11:29,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,ruberrimus,166740,1,Yes
Left (3).MP4,6992,39.1569,60min,13.0508,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,,,,,1,No
Left (2).MP4,24104,31.0388,60min,4.9327,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Embiotocidae,Rhacochilus,vacca,169754,6,No
Left (3).MP4,26181,49.8281,60min,23.722,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,1,No
Left (2).MP4,16164,26.6233,60min,0.5172,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Hexagrammidae,Hexagrammos,decagrammus,167110,1,No
Left (4).MP4,3109,54.6318,60min,28.5257,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left (3).MP4,17145,44.8031,60min,18.697,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,caurinus,166713,1,No
Left (2).MP4,15331,26.16,60min,0.0539,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,58,No
Left (3).MP4,6852,39.079,60min,12.973,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,4,No
Left (4).MP4,3364,54.7736,60min,28.6675,cliffcove_1,Fiona Francis,26.8,,2019-11-14,13:32,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,nigrocinctus,166732,2,No
Left_3.MP4,16674,44.5412,60min,16.5176,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,,,,,1,No
Left_4.MP4,28134,68.5485,60min,40.5249,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,Embiotocidae,Rhacochilus,vacca,169754,3,No
Left_6.MP4,22873,100.8913,,,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,1,No
Left_2.MP4,25200,31.6483,60min,3.6247,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,Hexagrammidae,Hexagrammos,decagrammus,167110,1,No
Left_3.MP4,10477,41.0949,60min,13.0714,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,caurinus,166713,1,No
Left_3.MP4,2667,36.7517,60min,8.7282,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,10,No
Left_3.MP4,9959,40.8069,60min,12.7833,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,10,No
Left_4.MP4,17899,62.8567,60min,34.8331,defenceinshorebioherm_1,Fiona Francis,23.1,,2019-09-12,10:40,sponge reef,,,,1047,1046,Squalidae,Squalus,suckleyi,160617,1,No
Left (3).MP4,30544,52.2544,60min,35.2969,defenceinshorebioherm_2,Fiona Francis,25.3,,2019-10-30,13:42,sponge reef,,,,1047,1046,,,,,3,No
Left (3).MP4,6989,39.1552,60min,22.1977,defenceinshorebioherm_2,Fiona Francis,25.3,,2019-10-30,13:42,sponge reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,1,No
Left (2).MP4,22099,29.9238,60min,12.9663,defenceinshorebioherm_2,Fiona Francis,25.3,,2019-10-30,13:42,sponge reef,,,,1047,1046,Hexagrammidae,Hexagrammos,decagrammus,167110,1,No
Left (4).MP4,1916,53.9684,60min,37.0109,defenceinshorebioherm_2,Fiona Francis,25.3,,2019-10-30,13:42,sponge reef,,,,1047,1046,Hexagrammidae,Ophiodon,elongatus,167116,2,No
Left (2).MP4,17786,27.5253,60min,10.5678,defenceinshorebioherm_2,Fiona Francis,25.3,,2019-10-30,13:42,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,1,No
Left (2).MP4,21301,29.48,60min,12.5225,defenceinshorebioherm_2,Fiona Francis,25.3,,2019-10-30,13:42,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,7,No
Left (2).MP4,28410,33.4334,60min,19.7647,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,,,,,1,No
Left (2).MP4,21762,29.7364,60min,16.0677,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Bathymasteridae,Ronquilus,jordani,170951,1,No
Left (2).MP4,18153,27.7294,60min,14.0607,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,1,No
Left (1).MP4,30122,16.7512,60min,3.0825,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,1,No
Left (3).MP4,24849,49.0874,60min,35.4187,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Hexagrammidae,Ophiodon,elongatus,167116,2,No
Left (2).MP4,4694,20.2447,60min,6.576,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Phocidae,Phoca,vitulina,180649,1,No
Left (3).MP4,7495,39.4366,60min,25.768,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Scorpaenidae,Sebastes,caurinus,166713,1,No
Left (2).MP4,6052,20.9999,60min,7.3312,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Scorpaenidae,Sebastes,flavidus,166720,1,No
Left (1).MP4,29700,16.5165,60min,2.8478,defenceinshorebioherm_3,Fiona Francis,25.2,,2019-11-13,10:56,sponge reef,,,,1049,1048,Scorpaenidae,Sebastes,maliger,166726,8,No
Left (5).MP4,8768,75.4131,60min,50.1306,defenceoffshorebioherm_1,Fiona Francis,28.6,,2019-10-30,12:13,sponge reef,,,,1049,1048,,,,,5,No
Left (5).MP4,15664,79.2481,60min,53.9656,defenceoffshorebioherm_1,Fiona Francis,28.6,,2019-10-30,12:13,sponge reef,,,,1049,1048,Bathymasteridae,Ronquilus,jordani,170951,2,No
Left (2).MP4,23273,30.5767,60min,5.2942,defenceoffshorebioherm_1,Fiona Francis,28.6,,2019-10-30,12:13,sponge reef,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,4,No
Left (4).MP4,4066,55.164,60min,29.8815,defenceoffshorebioherm_1,Fiona Francis,28.6,,2019-10-30,12:13,sponge reef,,,,1049,1048,Hexagrammidae,Ophiodon,elongatus,167116,2,No
Left (2).MP4,15979,26.5204,60min,1.2379,defenceoffshorebioherm_1,Fiona Francis,28.6,,2019-10-30,12:13,sponge reef,,,,1049,1048,Scorpaenidae,Sebastes,maliger,166726,5,No
Left (2).MP4,20127,28.8271,60min,12.4029,defenceoffshorebioherm_2,Fiona Francis,28.7,,2019-11-13,10:10,sponge reef,,,,1047,1046,,,,,1,No
Left (2).MP4,27143,32.7288,60min,16.3046,defenceoffshorebioherm_2,Fiona Francis,28.7,,2019-11-13,10:10,sponge reef,,,,1047,1046,Bathymasteridae,Ronquilus,jordani,170951,1,No
Left (5).MP4,6930,74.391,60min,57.9668,defenceoffshorebioherm_2,Fiona Francis,28.7,,2019-11-13,10:10,sponge reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,4,No
Left (4).MP4,16642,62.1577,60min,45.7335,defenceoffshorebioherm_2,Fiona Francis,28.7,,2019-11-13,10:10,sponge reef,,,,1047,1046,Hexagrammidae,Ophiodon,elongatus,167116,2,No
Left (2).MP4,14760,25.8425,60min,9.4183,defenceoffshorebioherm_2,Fiona Francis,28.7,,2019-11-13,10:10,sponge reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,5,No
Left (5).MP4,21462,82.4724,60min,57.5013,defencesouthside_1,Fiona Francis,23.4,,2019-09-12,11:47,rocky reef,,,,1049,1048,,,,,1,No
Left (2).MP4,29983,34.3082,60min,9.3371,defencesouthside_1,Fiona Francis,23.4,,2019-09-12,11:47,rocky reef,,,,1049,1048,Hexagrammidae,Ophiodon,elongatus,167116,1,No
Left (5).MP4,23273,83.4795,60min,58.5085,defencesouthside_1,Fiona Francis,23.4,,2019-09-12,11:47,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,caurinus,166713,2,No
Left (3).MP4,13022,42.5102,60min,17.5392,defencesouthside_1,Fiona Francis,23.4,,2019-09-12,11:47,rocky reef,,,,1049,1048,Scorpaenidae,Sebastes,maliger,166726,6,No
Left (4).MP4,10669,59.0362,60min,22.9012,fieldof1000_1,Fiona Francis,21.1,,2019-09-09,10:00,sponge garden,,,,1035,1034,,,,,10,No
Left (3).MP4,4460,37.8823,60min,1.7473,fieldof1000_1,Fiona Francis,21.1,,2019-09-09,10:00,sponge garden,,,,1035,1034,Bathymasteridae,Ronquilus,jordani,170951,4,No
Left (5).MP4,21798,82.9262,60min,46.7912,fieldof1000_1,Fiona Francis,21.1,,2019-09-09,10:00,sponge garden,,,,1035,1034,Embiotocidae,Cymatogaster,aggregata,169739,1000,No
Left (3).MP4,3480,37.3373,60min,1.2023,fieldof1000_1,Fiona Francis,21.1,,2019-09-09,10:00,sponge garden,,,,1035,1034,Gobiidae,Rhinogobiops,nicholsii,636877,10,No
Left (5).MP4,30219,87.6092,60min,51.4742,fieldof1000_1,Fiona Francis,21.1,,2019-09-09,10:00,sponge garden,,,,1035,1034,Hexagrammidae,Ophiodon,elongatus,167116,2,No
Left (4).MP4,22438,65.5811,60min,29.4461,fieldof1000_1,Fiona Francis,21.1,,2019-09-09,10:00,sponge garden,,,,1035,1034,Squalidae,Squalus,suckleyi,160617,2,No
Left (2).MP4,24410,31.209,60min,10.0128,fieldof1000_2,Fiona Francis,21,,2019-09-11,10:52,sponge garden,,,,1049,1048,,,,,4,No
Left (2).MP4,7683,21.9069,60min,0.7107,fieldof1000_2,Fiona Francis,21,,2019-09-11,10:52,sponge garden,,,,1049,1048,Bathymasteridae,Ronquilus,jordani,170951,2,No
Left (3).MP4,28404,51.0643,60min,29.8682,fieldof1000_2,Fiona Francis,21,,2019-09-11,10:52,sponge garden,,,,1049,1048,Cottidae,Artedius,harringtoni,167213,1,No
Left (2).MP4,6961,21.5054,60min,0.3092,fieldof1000_2,Fiona Francis,21,,2019-09-11,10:52,sponge garden,,,,1049,1048,Gobiidae,Rhinogobiops,nicholsii,636877,4,No
Left (5).MP4,14239,78.4556,60min,57.2594,fieldof1000_2,Fiona Francis,21,,2019-09-11,10:52,sponge garden,,,,1049,1048,Hexagrammidae,Hexagrammos,decagrammus,167110,1,No
Left (2).MP4,31451,35.1245,60min,13.9284,fieldof1000_2,Fiona Francis,21,,2019-09-11,10:52,sponge garden,,,,1049,1048,Squalidae,Squalus,suckleyi,160617,2,No
Left (2).MP4,17656,27.453,60min,6.2006,fieldof1000_3,Fiona Francis,25.9,,2019-11-19,11:15,sponge garden,,,,1047,1046,,,,,5,No
Left (2).MP4,17204,27.2016,60min,5.9493,fieldof1000_3,Fiona Francis,25.9,,2019-11-19,11:15,sponge garden,,,,1047,1046,Bathymasteridae,Ronquilus,jordani,170951,2,No
Left (2).MP4,25918,32.0476,60min,10.7952,fieldof1000_3,Fiona Francis,25.9,,2019-11-19,11:15,sponge garden,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,6,No
Left (3).MP4,20535,46.6883,60min,25.436,fieldof1000_3,Fiona Francis,25.9,,2019-11-19,11:15,sponge garden,,,,1047,1046,Hexagrammidae,Hexagrammos,decagrammus,167110,1,No
Left (5).MP4,28495,86.3835,60min,51.115,halkettbayeast_1,Fiona Francis,20,,2019-10-11,11:18,rocky reef,,,,1047,1046,Anarrichadidae,Anarrhichthys,ocellatus,171345,1,No
Left (5).MP4,6717,74.2725,60min,39.004,halkettbayeast_1,Fiona Francis,20,,2019-10-11,11:18,rocky reef,,,,1047,1046,Embiotocidae,Rhacochilus,vacca,169754,4,No
Left (3).MP4,27890,50.7785,60min,15.5099,halkettbayeast_1,Fiona Francis,20,,2019-10-11,11:18,rocky reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,2,No
Left (5).MP4,26666,85.3664,60min,50.0978,halkettbayeast_1,Fiona Francis,20,,2019-10-11,11:18,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,caurinus,166713,2,No
Left (4).MP4,15231,61.373,60min,26.1044,halkettbayeast_1,Fiona Francis,20,,2019-10-11,11:18,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,3,No
Left (5).MP4,16408,79.6618,60min,44.3932,halkettbayeast_1,Fiona Francis,20,,2019-10-11,11:18,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,2,No
Left (4).MP4,20449,64.2748,60min,28.3594,halkettbayeast_2,Fiona Francis,23.7,,2019-11-14,11:19,rocky reef,,,,1047,1046,Embiotocidae,Rhacochilus,vacca,169754,1,No
Left (4).MP4,5627,56.0321,60min,20.1168,halkettbayeast_2,Fiona Francis,23.7,,2019-11-14,11:19,rocky reef,,,,1047,1046,Gobiidae,Rhinogobiops,nicholsii,636877,3,No
Left (5).MP4,26156,85.0828,60min,49.1675,halkettbayeast_2,Fiona Francis,23.7,,2019-11-14,11:19,rocky reef,,,,1047,1046,Hexagrammidae,Oxylebius,pictus,167118,1,No
Left (6).MP4,4671,90.769,60min,54.8537,halkettbayeast_2,Fiona Francis,23.7,,2019-11-14,11:19,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,caurinus,166713,3,No
Left (3).MP4,7109,39.222,60min,3.3066,halkettbayeast_2,Fiona Francis,23.7,,2019-11-14,11:19,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,flavidus,166720,5,No
Left (3).MP4,1779,36.2579,60min,0.3426,halkettbayeast_2,Fiona Francis,23.7,,2019-11-14,11:19,rocky reef,,,,1047,1046,Scorpaenidae,Sebastes,maliger,166726,3,No
Left (3).MP4,5776,38.4807,60min,17.3095,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Embiotocidae,Cymatogaster,aggregata,169739,250,No
Left (2).MP4,9969,23.1782,60min,2.007,halkettbioherm_1,Fiona Francis,31.7,,2019-10-31,11:27,sponge reef,,,,1047,1046,Embiotocidae,Rhacochilus,vacca,169754,30,No
