Surface analysis

Generated: Tuesday 06 July 2021 18:06:48

						
Left filename	Left2+2m.jpg					
Left frame number	      0					
Plane definition points	128					
RMS plane fit (mm)	41.703					
X plane direction (unit vector)	[0.9930, -0.0000, 0.1178]					
Y plane direction (unit vector)	[0.0032, 0.9996, -0.0273]					
Z plane direction (unit vector)	[-0.1177, 0.0275, 0.9927]					
Plane shift (mm)	[-1365.5418, -780.1992, -2029.8057]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1927.542	366.048	108.925	50.244	82.357	24805.733	38788.145
1827.366	241.097	130.843	46.772	184.613	17869.771	26091.047
1731.018	296.755	145.543	27.619	303.843	8857.075	9996.116
1787.366	412.535	132.237	28.411	308.277	22999.807	26149.354
503.203	1463.251	91.390	5.395	192.887	16106.129	16177.803
584.236	1436.958	96.230	8.964	276.849	10719.843	10852.380
404.617	1373.946	92.402	7.074	65.528	12380.729	12475.684
588.312	1343.466	99.425	9.289	283.294	8804.626	8921.622
471.594	1257.197	110.371	13.479	359.508	23823.329	24498.098
574.255	1253.010	112.554	13.042	353.200	14448.237	14830.787
2038.715	1022.348	95.286	10.554	189.103	21201.494	21566.355
1981.839	851.814	87.580	6.399	29.669	19316.241	19437.354
1935.412	957.614	89.613	5.444	133.867	23160.503	23265.463
2033.567	613.317	81.034	28.373	98.451	12991.809	14765.622
2069.671	722.443	86.112	50.566	277.780	9974.330	15703.092
608.067	218.551	141.416	29.875	338.319	14680.755	16930.537
511.130	230.008	127.758	6.136	34.409	10323.157	10382.639
543.542	326.380	120.123	4.270	62.620	13659.653	13697.674
726.639	274.694	131.510	36.631	350.291	4573.946	5699.659
1517.291	597.026	158.380	20.156	6.343	7419.925	7904.000
1652.880	632.225	113.658	13.190	81.287	6395.699	6568.992
1596.440	582.796	141.841	25.966	58.336	10879.827	12101.457
1626.355	700.104	115.464	13.942	68.420	6564.111	6763.347
1558.646	728.085	121.318	9.672	11.144	5708.823	5791.134
1506.022	674.437	136.052	14.246	24.361	7223.412	7452.578
1215.636	430.189	162.534	16.837	351.088	6908.811	7218.246
1191.192	359.397	177.928	12.633	331.955	8056.928	8256.833
1291.013	418.639	150.698	29.920	52.640	6987.587	8062.091
1288.090	300.378	168.848	14.548	119.312	12263.112	12669.320
