Surface analysis

Generated: Wednesday 07 July 2021 17:23:47

						
Left filename	Left3_2m.jpg					
Left frame number	      0					
Plane definition points	30					
RMS plane fit (mm)	94.790					
X plane direction (unit vector)	[0.9992, 0.0000, -0.0392]					
Y plane direction (unit vector)	[-0.0078, 0.9798, -0.1999]					
Z plane direction (unit vector)	[0.0384, 0.2000, 0.9790]					
Plane shift (mm)	[-1015.2287, -122.2113, -1733.9463]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
1340.168	0.000	348.068				
176.477	636.126	340.761				
1569.606	914.897	129.949				
836.630	578.728	235.667				
1214.586	292.896	300.077				
1783.345	10.222	177.657				
445.642	360.868	134.288				
522.821	1033.146	219.999				
1412.605	1137.552	283.650				
813.449	849.073	213.001				
1747.966	655.440	88.266				
0.000	540.787	105.133				
1311.428	700.934	228.166				
746.072	96.424	278.985				
2205.752	487.020	0.000				
1295.677	926.601	229.824				
924.771	402.461	206.694				
1044.349	47.188	264.858				
317.934	1000.998	194.995				
612.398	542.012	207.331				
228.892	505.064	201.968				
1488.465	222.486	245.581				
615.243	157.620	248.589				
1589.489	1079.819	266.194				
1948.984	298.595	157.622				
677.110	977.533	200.451				
261.265	419.176	96.897				
56.251	1032.769	149.852				
2018.037	590.631	330.518				
1052.368	690.987	490.816				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
900.815	706.263	313.161	49.577	269.179	30462.945	46980.113
937.923	557.392	311.059	46.592	235.439	23961.134	34868.497
1063.908	462.115	332.529	43.085	219.508	48799.708	66817.321
1192.794	561.606	339.687	45.523	93.658	52371.528	74750.055
1219.824	772.841	316.269	45.381	86.422	29308.964	41727.864
1053.831	822.221	311.214	54.365	349.452	47378.129	81319.657
1785.164	775.297	228.326	53.948	232.909	52170.854	88646.762
1937.759	719.157	198.904	78.248	47.601	23713.075	116425.990
1904.995	514.889	192.135	46.314	249.915	41672.789	60333.408
2057.591	458.748	162.713	57.182	125.115	30987.168	57174.993
183.554	889.964	228.536	24.744	345.110	49987.446	55041.131
77.576	736.561	198.582	53.919	272.750	40730.312	69160.749
299.002	1022.304	188.282	13.260	320.310	7460.947	7665.305
440.717	312.555	159.925	28.154	356.369	13792.430	15643.350
292.170	372.528	150.206	61.856	25.837	12643.788	26805.393
311.933	428.369	144.384	58.321	204.402	6974.060	13279.700
163.386	488.342	134.666	58.116	203.942	9251.312	17514.597
870.845	1049.410	234.700	22.565	183.152	32796.181	35514.942
1128.464	1013.895	237.975	12.868	196.663	68221.151	69978.672
928.746	917.736	214.425	3.861	320.177	36258.394	36340.865
604.110	850.897	209.260	7.164	91.310	35397.505	35676.047
700.986	789.539	206.927	4.145	290.905	33845.697	33934.438
1979.360	265.279	111.760	47.444	116.702	21417.180	31667.825
1728.472	392.174	163.823	17.335	27.752	89816.662	94090.454
1740.264	177.101	193.620	11.490	102.632	60097.300	61326.258
1523.900	1044.089	226.598	39.451	191.529	15160.046	19633.018
1635.687	883.385	161.470	47.686	228.572	17287.209	25679.466
557.761	353.500	196.736	29.240	280.630	32307.520	37025.243
717.471	367.364	220.871	6.776	24.970	59838.243	60259.096
762.029	218.835	244.756	17.086	341.859	25487.143	26663.986
1515.953	526.287	187.338	20.497	64.455	100403.388	107189.226
1338.160	405.439	257.941	14.594	62.161	59285.713	61262.385
1537.326	77.569	257.102	23.400	61.342	48542.294	52892.605
1347.740	171.794	297.909	21.289	44.058	35687.856	38301.611
135.123	560.659	215.954	55.454	205.596	14063.286	24799.712
428.977	469.314	181.195	23.230	176.355	31654.302	34446.898
339.256	561.067	250.020	45.807	175.272	26099.835	37442.024
791.266	507.734	216.564	12.928	203.608	21380.487	21936.574
484.384	858.719	207.441	7.061	247.841	51753.463	52148.922
368.936	726.379	247.695	24.000	54.405	86184.319	94340.351
754.159	656.604	218.666	8.855	297.524	30735.504	31106.268
1061.235	247.515	257.210	16.958	281.986	44930.990	46973.399
905.064	182.024	250.179	11.634	22.491	50041.152	51090.754
1199.701	113.361	304.334	15.525	279.620	40359.216	41887.450
1392.237	847.477	195.980	20.094	87.155	30816.137	32813.487
1425.963	993.017	214.474	29.454	142.277	29576.978	33967.261
1543.000	757.090	148.794	18.440	78.888	52574.257	55419.628
						
Total plan area (mm^2)	1803685.994					
Total 3D area (mm^2)	2259963.749					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 490.816 (mm)			
