Surface analysis

Generated: Friday 25 June 2021 16:25:43

						
Left filename	Left3_5m.jpg					
Left frame number	      0					
Plane definition points	10					
RMS plane fit (mm)	55.401					
X plane direction (unit vector)	[0.9496, 0.0000, -0.3135]					
Y plane direction (unit vector)	[0.1153, 0.9300, 0.3491]					
Z plane direction (unit vector)	[0.2916, -0.3676, 0.8831]					
Plane shift (mm)	[-6.3221, -1589.4956, -2293.3839]					
						
Transformed coordinates						
X (mm)	Y (mm)	Z (mm)				
399.782	572.291	0.000				
382.579	1057.523	179.462				
927.249	931.872	48.758				
1190.470	1225.254	73.166				
1750.037	8.649	137.037				
1005.195	474.173	51.605				
1608.984	1212.339	50.430				
267.689	1284.983	106.145				
0.000	0.000	68.865				
412.285	729.326	110.768				
						
Triangle data						
X centre (mm)	Y centre (mm)	Z centre (mm)	Slope (deg)	Direction (deg)	Plan area (mm^2)	3D area (mm^2)
574.038	906.240	112.996	15.319	134.381	87513.115	90736.877
781.576	711.790	70.377	6.468	77.235	125743.005	126548.445
605.754	591.930	54.125	35.651	195.943	48148.802	59254.085
354.184	1023.944	132.125	52.915	255.762	15474.698	25663.064
226.658	671.436	95.260	4.610	261.144	167273.686	167816.664
270.689	433.872	59.878	57.365	121.315	27812.184	51571.814
918.411	160.940	85.836	7.214	341.793	410563.233	413839.052
468.326	348.821	40.157	9.761	339.925	192849.279	195682.284
613.579	1189.253	119.591	19.632	9.441	101517.049	107782.562
1180.476	872.794	50.264	0.410	319.190	166945.481	166949.766
1242.235	1123.155	57.451	7.852	158.580	63091.923	63689.042
1454.739	565.053	79.691	5.609	310.001	415447.722	417446.785
833.433	1071.549	100.462	17.098	143.512	96435.156	100894.377
						
Total plan area (mm^2)	1918815.332					
Total 3D area (mm^2)	1987874.818					
						
Slope bitmap	Double click to view	Darkest: 0 degree slope	Brightest: 90 degree slope			
Slope direction bitmap	Double click to view	0 deg = red, 120 deg = green, 240 deg = blue				
Surface bitmap	Double click to view	Darkest: z = 0.000 (mm)	Lightest: z = 179.462 (mm)			
